,id,name,abbreviation,nameShort,seasonState,hasWildCard,hasSplitSeason,numGames,hasPlayoffPoints,numTeams,numWildcardTeams,season,orgCode,conferencesInUse,divisionsInUse,sortOrder,seasonDateInfo.seasonId,seasonDateInfo.regularSeasonStartDate,seasonDateInfo.regularSeasonEndDate,seasonDateInfo.preSeasonStartDate,seasonDateInfo.preSeasonEndDate,seasonDateInfo.postSeasonStartDate,seasonDateInfo.postSeasonEndDate,seasonDateInfo.lastDate1stHalf,seasonDateInfo.firstDate2ndHalf,seasonDateInfo.allStarDate
0,103,American League,AL,American,offseason,TRUE,FALSE,162,FALSE,15,2,2019,AL,FALSE,TRUE,21,2019,3/20/2019,9/29/2019,2/21/2019,3/26/2019,10/2/2019,10/30/2019,7/7/2019,7/11/2019,7/9/2019
1,104,National League,NL,National,offseason,TRUE,FALSE,162,FALSE,15,2,2019,NL,FALSE,TRUE,31,2019,3/28/2019,9/29/2019,2/23/2019,3/26/2019,10/1/2019,10/30/2019,7/7/2019,7/11/2019,7/9/2019
2,114,Cactus League,CL,Cactus,preseason,FALSE,FALSE,,FALSE,,,2019,CL,FALSE,FALSE,51,2019,,,2/21/2019,3/26/2019,,,,,
3,115,Grapefruit League,GL,Grapefruit,preseason,FALSE,FALSE,,FALSE,,,2019,GL,FALSE,FALSE,52,2019,,,2/23/2019,3/26/2019,,,,,
